,exercise
2059,Superset: Reverse Grip Chin-Up & Flat Bench Barbell Press
2060,Shrug (with hold)
2061,Single Arm Pull Down
2062,Floor Barbell Calf Raise
2063,Lunges 
2064,Feet Elevated Suspension Supine Row
2065,Smith Machine Narrow Stance Squat
2066,Barbell Front Squat or Leg Press
2067,Cable Pull Through
2068,Bicep Curl with Resistance
2069,Hip Abduction Machine
2070,Half Squat From Bottom Position
2071,Cable Crossover
2072,Foam Roll
2073,Incline Curl
2074,One Arm Reverse Grip Cable Tricep Extension
2075,Superman
2076,Bench Dips 
2077,Cable Bent Over Reverse Flye
2078,Bench
2079,Machine Chest Press (Rest-Pause)
2080,Smith Machine Incline Tricep Extension
2081,Tricep Pushdowns
2082,Drop 20%
2083,Side Plank 
2084,Band Pull-Aparts
2085,Cable Rows
2086,Two Arm Seated Dumbbell Extension
2087,Wrist Rotations
2088,Stability Ball Roll
2089,Bent Over Reverse Cable Flye *
2090,Hammer Strength Incline Press
2091,Diamond Pushup
2092,Butt Kicks (weighted)
2093,Stability Alternates (from feet)
2094,Medicine Ball Slams
2095,Straight bar curls
2096,Arm Circles (Counter Clockwise)
2097,Superset: Prisoner squat and forward static lunge
2098,Weighted Pull Up
2099,Barbell Lunge
2100,Peak Contraction Dumbbell Shrugs
2101,Deficit Deadlifts
2102,Assisted Chin Up
2103,Kettlebell Swing
2104,Smith Machine Military Press
2105,Walk outs
2106,Pull Ups or Inverted Rows (Rest-Pause)
2107,Bench Press (see instructions)
2108,Single Arm Cable Lateral Raise
2109,Bent-Over Barbell or Dumbbell Row
2110,Box Jumps (superset)
2111,Seated dumbbell curls
2112,Kettlebell Clean and Press
2113,- Serrano Press
2114,One Arm Rows
2115,Weighted Hyperextensions
2116,Wide Grip Bench Press *
2117,Dumbbell Rear Lateral Raise
2118,"EZ Bar, Lying Tricep Extension"
2119,Cable Glute Kickback
2120,Seated Machine Fly
2121,Behind Neck Lat Pulldown
2122,Barbell Rollout
2123,Exercise Ball Ab Crunch
2124,Plank 
2125,Twisting Decline Dumbbell Situps
2126,Machine Tricep Extensions
2127,Seated Barbell Wrist Curl
2128,Diamond (hands close) Push-ups
2129,Weighted Pullups
2130,Single Leg Calf Raise
2131,Side Plank
2132,Lat pull downs
2133,Pallof Press
2134,Cable Upright Row (Rest-Pause)
2135,Suitcase Walks 
2136,Wrist Curls
2137,Half Kneeling Cable Row 
2138,Dumbbell Chest Fly 
2139,Side Oblique Crunch (each side)
2140,"Combo #3:
Left Leg Roundhouse/Cross/Left Hook"
2141,Dumbbell Pullovers (On Swiss Ball) To Crunch
2142,Flat Barbell Bench Presses
2143,Kneeling Band Lat Pulldowns
2144,Cable Row
2145,Dumbbell Bench Press (on the floor)
2146,Parallel Squats - Week 2
2147,High Pulley Single Arm Bicep Curl
2148,Supermans (w/5lb plates)
2149,Bent over row
2150,Standing Push Press
2151,1b) Floor Dumbbell Flys
2152,Single Arm Overhead Tricep Extension
2153,Seated Overhead Press - Power
2154,Tall Kneeling Pallof Press
2155,Plank with Feet On Bench
2156,Jump Rope
2157,Superdogs
2158,1 Arm Cable Tricep Pulldown
2159,Seated Barbell Press Behind Neck
2160,Floor Dumbbell Press
2161,Bench Jack Knife
2162,Hanging Knee Raise
2163,Superset - Leg Press Calf Raise
2164,Dumbbell Chest Press
2165,Side Plank with Cable Row
2166,Crosses
2167,Bayles Extension
2168,EZ Bar Extension
2169,Isometric Cable Pushdowns *
2170,Straight bar curls w/ 5 second pause at midway point of last rep
2171,Close Grip Push Ups
2172,Pec Dec or Machine Bench Press - Burn
2173,Lying Triceps Extensions
2174,Machine Chest Press - Warmup 80%
2175,Dumbbell Arnold Press
2176,Barbell Conventional Deadlift (Use 20% less weight than your previous working sets)
2177,Incline Dumbbell Bench Press
2178,Side Planks
2179,Kettlebell Lateral Lunge
2180,Superset: Smith Machine Squat & Dumbbell Romanian Deadlift
2181,Flat Bench Barbell Bench Press
2182,Smith Machine Pull Ups
2183,Front Squat 
2184,Lunge Squat
2185,Single Leg Standing Leg Curl
2186,Tricep Bench Dip
2187,1A: Feet Elevated Push-Ups
2188,Power Barbell Shrugs - Burn
2189,Incline Dumbbell Bench Press - Superset #1
2190,Single Arm Barbell Row
2191,DB Walking Lunge
2192,Kettlebell Pullover
2193,Superset - Cable Crossover
2194,Seated Shoulder Press
2195,Walking Dumbbell Lunges
2196,Incline T-Bar Row
2197,Wheel Barrow Walks (on Swiss Ball)
2198,TRX Triceps Extensions
2199,Tuck Jumps
2200,Tall Kneeling Belly Press 
2201,"17:30
Pre Workout"
2202,Hack Squat
2203,Rope Hammer Curl
2204,Unique Exercise Finishers
2205,Sit-Up
2206,Straight Bar Tricep Pressdown
2207,Prone Leg Raise
2208,Incline Cable Flys
2209,Jumping Jacks
2210,Air Squats
2211,Bent Over Row
2212,Split Stance Cable Lift 
2213,Isometric Cable Curl Hold *
2214,Weighted Hammer
2215,Stiff Deadlift
2216,180 Degree Jump Turns
2217,Single Arm Dumbbell Overhead Press 
2218,1 Arm Cable Curl
2219,Calf Raise (Seated or Standing)
2220,Push Ups with Feet on Bench
2221,Tuck
2222,Dumbbell Shrug - Burn
2223,Bench Press (Ramped)
2224,Half Kneeling Belly Press
2225,Smith Machine Press - Warmup 80%
2226,Seated Dumbbell Curl
2227,Lying Barbell Tricep Extension
2228,Glute Ham Raises
2229,Sandbag Zercher Squat (About 5-6 rep sets)
2230,Seated leg curl
2231,Wide Unilateral Dumbbell Row
2232,Dumbbell Incline Bench
2233,Reverse Grip Pull Up
2234,Lying Incline Dumbbell Extension
2235,Half-Kneeling Cable Wood Chop
2236,Kettlebell Row
2237,Leg Press - Muscle
2238,Wide-grip upright row/Turkish get-up
2239,Adduction Machine
2240,Step Up Jumps
2241,Underhand Pull Apart
2242,Wide Jump Squats
2243,the power rack
2244,Seated Rear Delt Fly Machine
2245,Leg Swings 
2246,Standing barbell push press/burpee
2247,Lying Dumbbell Tricep Extensions
2248,Squats - Warmup 85%
2249,Standing Calf Raise 
2250,Straight Arm Pullovers
2251,Kneeling Medicine Ball Chest Pass
2252,Bench T
2253,Leg Extension
2254,HIIT Sprints
2255,20 Yards
2256,Bench Step Up
2257,DB Shrugs
2258,Split Stance Cable Face Pulls
2259,Dips (Add weight if needed)
2260,Box Jump (superset)
2261,Jumping Lunge
2262,Burpee
2263,Flat Dumbbell Press
2264,Close-Grip Barbell Curl
2265,Thai Plank
2266,Superset: Hip Thrust and Sissy Squat (Rest 60-75 seconds between moves and 75-90 seconds between rounds)
2267,Flat Bench Dumbbell Flys
2268,Bent Rows
2269,Superset: Bulgarian split squat and reverse lunge
2270,Seated Dumbbell Shrugs
2271,Dumbbell Rear Delt Fly
2272,Reverse Grip Pulldowns
2273,Ring Lay Outs*
2274,Leg Extension Drop Set ****
2275,Glute Hyperextension
2276,T
2277,Incline Dumbbell Fly
2278,Reach and Catch (25 reps per leg)
2279,- Medicine Ball Pushup
2280,Week 3
2281,Ab Crunches
2282,Toes To Bar
2283,Optional: 1 Traps Exercise
2284,Dumbbell Lateral Raise Drop Set
2285,Tricep Pulldown with Resistance
2286,High Low Plank
2287,Band Pallof Press
2288,Close Grip Incline Bench Press
2289,Weighted V
2290,Preacher Curl
2291,Chin-ups
2292,Single Arm Cable Crossover
2293,Ring Push Ups*
2294,Incline Press
2295,Wrist Roller Machine
2296,Volume Quad Set
2297,Ring Rows
2298,Cable Crunches
2299,Machine Shoulder Press 
2300,Machine Bicep Curls - Working Sets
2301,Single Arm Pressdown
2302,Deadlift - Ramped
2303,Chest Supported Row (Pyramid up in weight)
2304,Front Squats - Week 2
2305,Kettlebell Ab Pullover and Crunch
2306,Walking Lunges 
2307,Chin Ups
2308,Behind the Neck Shoulder Press
2309,Reverse Sled Drag
2310,Seated alternating dumbbell curls
2311,Triceps Press
2312,Standing Overhead Barbell Press
2313,Warm Up: Cardio Equipment or Outdoors
2314,"Close Grip Bench Press/Dips (choose 1, rotate weekly)"
2315,Leg extension
2316,Prisoner Squat (Hold at the Bottom)
2317,"Tri-set: Squat jump, static lunge and one-leg calf raise"
2318,Pull Ups or Inverted Rows
2319,Overhead Tricep Dumbbell Extension
2320,Landmine Romanian Deadlift
2321,Dumbbell Reverse Lunge
2322,Rope Triceps Extension
2323,Bench Press/Dumbbell Fly superset
2324,Wide Leg Sit Up
2325,Close Grip Bench Press 
2326,Band Pulls
2327,Leg Extensions
2328,Crunches
2329,Bulgarian Split Squats
2330,Incline Alternating Dumbbell Curl
2331,High Standing Cable Curl
2332,Standing Chest Fly
2333,High Kick
2334,Band Assisted Nordic Curls
2335,Standing Dumbbell Reverse Curl
2336,Seated Bench Knee Ups
2337,Hammer Concentration Curl
2338,Stiff-Leg Deadlifts 3
2339,Lying Back Extensions
2340,Front Raise (Long Pause at the Top)
2341,Back Squats (Ladder Set)
2342,Sprints
2343,Standing Alternate Bicep Curl
2344,Pull-Ups
2345,Speed Sumo Deadlift
2346,Prone Hamstring Curls
2347,Ab Wheel or Barbell Rollout
2348,Body Saw
2349,Rear Delt Machine Fly
2350,Lat Pull Down - Working Sets
2351,Incline Cable Fly
2352,Standing alternating dumbbell curls
2353,Rope Cable Triceps Press
2354,Lying leg curl
2355,Landmine Goblet Squat
2356,Seated Lateral Raise
2357,Alternating Lunge Pulses
2358,Deadbugs
2359,Seated Overhead Cable Tricep Extension
2360,TRX Leg Tucks
2361,Standing Cable Lateral Raises
2362,Wide Grip Pull Ups
2363,Low Plank Hold
2364,Walking Dumbbell Lunge
2365,Barbell Shrug or Dumbbell Shrug
2366,90/90 Hip Crossover
2367,Lateral Bounds
2368,Squats - Drop 5 Cycle
2369,Superset: Incline dumbbell press or banded chest press and wide grip pull-up
2370,Farmer's Carry
2371,Low Rack Pull
2372,Underhand Barbell Row
2373,Speed Barbell Press
2374,Bench Squat (Pause one second when sitting)
2375,Squats @ 80%
2376,Band Push Down
2377,Reverse Grip Dumbbell Press
2378,Deadlifts - Drop 5 Cycle
2379,Dumbbell Floor Fly
2380,"Incline Bench Press (15-25 degrees, pyramid up in weight)"
2381,Treadmill Walk
2382,Parallel Bar Dips (warm up set using cable tricep extensions)
2383,Flat Dumbbell Flys
2384,Barbell Preacher Curl
2385,Smith Machine Split Squat 
2386,Single Leg Dumbbell Deadlift
2387,5B: Lying Leg Raises
2388,Parallel Bar Dip Or Pressdown
2389,Seated Arnold Press  - Muscle
2390,Seated Hammer Curl
2391,Decline 2 Arm Dumbbell Extension
2392,Assisted pull ups / lat pull downs superset
2393,Face Pull
2394,Seated Low Pulley Overhead Tricep Extension
2395,Hands Up Push Ups
2396,Seated Arnold Press
2397,One Arm Overhead Dumbbell Extension
2398,Tri-Set - Dumbbell Pullover
2399,Sled Drags
2400,Prone Rows (Reverse grip to hit biceps if needed)
2401,Lunge Punch
2402,Pause Bench
2403,Behind The Neck Snatch-Grip Push Press
2404,Dip Machine
2405,Standing Dumbbell Calf Raise
2406,Plate Chops
2407,Rear Delt Lateral Raise
2408,Incline Dumbbell Curl (bench 30-40 degrees)
2409,Upward Dog
2410,Ab Wheel or Barbell Roll
2411,Standing Landmine Press
2412,Wide Grip Upright Barbell Row
2413,Extended Plank Front Arm Raise 
2414,Decline abdominal reach (weighted)
2415,Push Ups
2416,Barbell Shrug (Pyramid up in weight)
2417,Hack Squat or Dumbbell Lunges
2418,Incline Press or Military Press
2419,Tricep Cable Extension
2420,Standing Calf Raise (holding dumbbell)
2421,Box Squat
2422,Power Shrug
2423,Flyes
2424,Bent Over Reverse Flyes - Working Sets
2425,Standing Calf Raise
2426,Straight Bar Curls
2427,Pull Ups
2428,Cable Extensions with Rope
2429,Incline Overhead Dumbbell Extension
2430,Side Lying Dumbbell Reverse Fly 
2431,GHR
2432,Seated Lat Row
2433,Cable Rope Triceps Press
2434,Bent-Over Rear Lateral Raise
2435,Machine Rows
2436,Cable Fly
2437,Dumbbell Lateral Raises (Finish w/ drop set as 4th set)
2438,Pull Up or Lat Pull Down
2439,Hanging Knee Raises (Knees to Elbows)
2440,Leg Extension (Pyramid up in weight)
2441,- Set 3 at 70%
2442,Under
2443,Front Raise
2444,Dumbbell Skullcrusher
2445,Smith Machine Behind the Neck Press
2446,Barbell Static Hold
2447,Close Stance Goodmorning
2448,"Shrugs (Dumbbell, Barbell, or Trap Bar)"
2449,Narrow Grip T
2450,Jump Split Squats
2451,Dumbbell Incline Press
2452,Standing Belly Press 
2453,Pike Push Up
2454,Decline Dumbbell Sit Up
2455,Windshield Wipers
2456,Incline Bench Press (Warm-up)
2457,A2: Incline Dumbbell Bench Press
2458,Band Bent-Over Row
2459,Bench Squat (4 second pause while sitting) *******
2460,One Arm Preacher Curl Machine
2461,Bicep Curl with Squat
2462,Dumbbell Press
2463,Seated Hamstring Curl
2464,Barbell Squats
2465,Lying Leg Curl
2466,Alternating single arm preacher curls
2467,Hack Squat or Dumbbell Lunge
2468,Dumbbell Row - Muscle
2469,Seated Dumbbell Press - Week 1
2470,Crunch w/ Feet Elevated
2471,Eccentric Only Pull Up
2472,Dumbbell Incline Serrano Press
2473,Rope Upright Rows
2474,Curtsy Lunge
2475,Rack Pull - Above the Knee
2476,Leg Press (Rest-Pause)
2477,Dumbbell Flye or Pec Dec (Rest-Pause)
2478,Alternating Forward DB Lunge
2479,Sit-up/hanging knee-up
2480,Advanced Hover (see instructions)
2481,Renegade Row
2482,Wide Grips Pulldowns
2483,Cable Preacher Curl - Burn
2484,Incline Dumbbell Iso
2485,Standing High Pulley Curl
2486,Partial deadlift
2487,Deadlifts @70% or Deadlift variation
2488,Seated Pullover Machine
2489,Shotgun Row
2490,Dumbbell Flye
2491,Dumbbell Hanging Knee Raise
2492,Barbell Shrugs
2493,B1: TRX Curls
2494,Squats: 5x3 using the same weight as Monday
2495,Dumbbell Side Bench
2496,Incline Smith Press
2497,Concentration Curl
2498,Underhand Slant Rows
2499,Hammer Strength Chest Machine
2500,Dumbbell Side Bends
2501,Single-Arm Kettlebell Snatch
2502,Pavlov Press - Press Straight Out
2503,Speed Skater
2504,Single Arm Reverse Cable Flye
2505,Deep Push ups (with hands on dumbbells)
2506,Seated Dumbbell Front Raise
2507,Military Press*
2508,Split Squat Jump
2509,Weighted Decline Crunch
2510,One Arm Kettlebell Row
2511,Two Arm Overhead Extension
2512,Hammer Strength Shrug
2513,Floor Press @ 80%
2514,Chinese Pushups
2515,Lying Triceps Extension
2516,High Band Biceps Pose Curl (Hold Stretch for 4 Seconds)
2517,Pikes
2518,Incline 2 Arm Overhead Dumbbell Extension
2519,Weighted Jumps
2520,"Light, controlled, SLOW upright rows with a cambered bar"
2521,Dumbbell Bench Press - Week 1
2522,Cable Chest Fly
2523,Dumbbell Step
2524,Stability Ball Leg Curl
2525,Single Arm Preacher Curl
2526,Standing Military Press - Week 2
2527,Reverse Hack Squat
2528,Barbell Hip Thrust
2529,Rack Triceps Press or Parallel Bar Dips
2530,Machine Press
2531,Preacher Dumbbell Curls
2532,Iso
2533,Spider Curls
2534,Seated Neutral Grip Band Rows
2535,Close Grip Chin Up
2536,Superset: Alternating dumbbell press and wide banded upright row
2537,Glute Flexor
2538,Assisted Chin Up 
2539,Barbell RDL
2540,Wide Grip Pull Up or Lat Pull Down
2541,Standing inside the body alternating isolation hammer curls
2542,Ab Wheel Roll Outs or Weighted Sit Ups
2543,Alternating Toe Touch
2544,Seated Bent Over Rear Dumbbell Lateral
2545,Flat Bench Press
2546,Squats + 5lbs over Monday
2547,Side Lateral Raise Superset with Bent Over Reverse Flye
2548,Dumbbell Sumo Deadlift
2549,Chest Dips or DB Bench Press or Incline Bench Press
2550,Superset - Leg Extensions
2551,Two Hand Snatch - Week 1
2552,Dumbbell Bench Press or Incline Dumbbell Bench Press
2553,Standing Band Reverse Fly
2554,High Cable Rope Pulls
2555,Lying Wide Grip Cable Curl/Lying Close Grip Cable Curl/Lying Reverse Grip Cable Curl
2556,Paused Bench Press
2557,Tricep Dip
2558,Hyperextensions
2559,Machine Fly
2560,Farmers Walk
2561,1 to 2 Tricep Exercises of Choice
2562,Plank or Ab Wheel Rollout
2563,Heels Elevated Barbell Squat (Rest 90 between sets)
2564,Seated Smith Machine Press
2565,Straight Bar Push-Downs
2566,(Weighted) Dips
2567,Flat DB Press
2568,Waiter Carries
2569,Walking Lunge +
2570,Hammer Row 
2571,Decline Dumbbell Tight Press
2572,Dumbbell Flys - Burn
2573,A2: Low Incline Dumbbell Flys
2574,Superset - Leg Curls
2575,Rope Crunch
2576,Cable crossover or Machine Flys
2577,Plank with Overhead Cable Row 
2578,Seated French Press - Muscle
2579,Plank Positions
2580,Fast Feet
2581,Standing Weighted Calf Raise
2582,Seated Calf Raises - Working Sets
2583,One Arm Cable Lateral Raise
2584,Tricep Press Downs
2585,1 Leg Leg Press
2586,Barbell Shrug
2587,Eccentric Only Dips
2588,Dumbbell Pullovers
2589,Superset - Stiff Arm Lat Pull Down
2590,Chin-ups (any grip)
2591,Preacher Curls
2592,Squat - Power
2593,Scissor Kicks
2594,Forearm Wrist Curls
2595,Superset - Dumbbell Stiff Leg Deadlift
2596,Jog*
2597,Chin Extension
2598,Dumbbell reverse lunge
2599,Weighted Hyperextension
2600,Face Pulls
2601,Shoulder or Wide Grip Pull Up
2602,Tall Kneeling Vertical Pallof Press
2603,Paused Front Squat
2604,Bent over barbell row
2605,Neutral Grip Dumbbell Bench Press
2606,Dumbbell Bent Over Row
2607,Machine/Hammer Strength Chest Press
2608,Cable Tricep Extension - Burn
2609,Reverse Lunge with Front Kick
2610,Dumbbell Lateral Raise to Front Raise
2611,1 Leg Elevated Calf Raise
2612,Sandbag Shouldering/Asymmetrical Squat
2613,Stir The Pot
2614,Front Box Squat
2615,Bentover Rows
2616,Incline Dumbbell Flye - Superset #1
2617,Stretch Push Up on Risers
2618,Barbell Front Raises
2619,Bent Over Dumbbell Rear Laterals
2620,Single Arm Lateral Raise
2621,EZ Curl Bar Pullover
2622,Standing Overhead Press (Use 20% less weight than your previous working sets)
2623,Push Ups Between Kettlebell Handles ***
2624,Bodyweight Calf Raises
2625,Overhead Dumbbell Extension
2626,Seated Dumbbell Power Cleans (Pyramid up in weight)
2627,Kettlebell Side Raise
2628,Rack Pulls
2629,Bent-over two-arm row/reverse lunge
2630,"Lateral Raise (Left, Right, Both)"
2631,Single Leg Glute Bridge 
2632,1 Leg Hurdle Hops
2633,Tricep Kickbacks
2634,Dumbbell Hamstring Curl
2635,Medicine Ball Chest Pass
2636,One Arm Cable Rear Delt Fly
2637,Bicep Curl
2638,Standing Overhand Cable Row
2639,Wall Balls
2640,Dead Stop Barbell Row
2641,Squat @ 85%
2642,EZ Bar Close Grip Bench
2643,1d) Push Up with Feet Elevated or Feet on Wall Push Up
2644,Bent Leg Trunk Twist
2645,Weighted Jump Squat
2646,Partner Hamstring Curls
2647,Overhead Squats
2648,Behind-the-back Shrug
2649,Bodyweight Squats
2650,V-Sits
2651,Single Arm Dumbbell Chest Press 
2652,Superset: Split jump squat and goblet squat
2653,Two Arm Seated Dumbbell Extension - Burn
2654,Standing Cable Twist
2655,Floor Press
2656,Lying Side Crunch
2657,Inner Leg Machine
2658,Dumbbell Shrugs  - Muscle
2659,Rotating Mountain Climber
2660,Cable Front Raise
2661,Skull Crushers 
2662,Incline Bench Press  - Muscle
2663,Reverse Hack Squats
2664,Dumbbell Pull Over
2665,TRX Suspension Split Squat
2666,A3: Push Ups with Feet Elevated
2667,Standing Cable Wood Chop
2668,V-bar Push-Downs
2669,Bench Press - Cluster Sets
2670,Barbell Shoulder Presses
2671,Seated Dumbbell Side Lateral Raise
2672,Machine Chest Press
2673,Dips - Superset #3
2674,Planks: Front and Sides
2675,Paused Weighted Push-Up
2676,Cable Upright Row
2677,75% of 1RM
2678,Lying Banded Leg Curl
2679,Dumbbell Incline Bench Press
2680,Reverse Grip Barbell Curl
2681,One Legged 
2682,Side Plank with Cable Row 
2683,Band Goodmornings
2684,Car Pushes
2685,Standing Cable Low Row
2686,One Arm Kickback
2687,Rear Delt Barbell Row
2688,Leg Lifts
2689,Soldier Walks
2690,Landmine Squat
2691,"Floor Press/Dumbbell Floor Press/Rack Lockouts/Board Presses (choose 1 only, rotate week to week)"
2692,Standing Band Fly
2693,Lateral Lunges
2694,Paused Bench Press 85-90% of paused max
2695,Incline Bench Press
2696,Booty Lunges
2697,Dumbbell Rows on Bench
2698,Clam Shells
2699,Kettlebell Shoulder Press
2700,Standing Leg Curl
2701,Palov Press - Hip Extension
2702,Half Kneeling Cable Chop 
2703,Shoulder Swings
2704,Incline Bench Dumbbell Curl
2705,Cable Lateral Raise
2706,Single-Arm Landmine Press
2707,3B: Weighted Rear-Foot Elevated Bulgarian Split Squats
2708,Power Barbell Shrug
2709,DB Kickbacks
2710,Dumbbell Side Raise
2711,Standing Dumbbell Press
2712,One Arm Machine Row
2713,Side Plank with Hip Dip
2714,Straight Arm Pulldowns
2715,Dumbbell Glute Bridge
2716,Behind the Back Shrug
2717,Goblet Squats
2718,Dumbbell Shrug (Seated)
2719,Barbell Curls (5x5 or 4x6)
2720,Leaning Curl
2721,Pike w/ Stability Ball
2722,Shoulder Presses
2723,Platform Lunge
2724,Dumbbell Floor Press
2725,20 Secs
2726,Plantar Fascia w/ Lacrosse Ball
