,exercise
2727,Cable curls
2728,Pikes (Shins On Swiss Ball)
2729,Standing Alternating Dumbbell Hammer Curl
2730,Standing Cable Row
2731,Kettlebell Swings
2732,Feet-Elevated Push Ups (5/1/1 Tempo)
2733,Single Leg Extension
2734,Front Press
2735,Full Sit Up
2736,Inverted Pull Ups
2737,A2: Wide-Grip Pull-Up
2738,Week 2
2739,"Seated Tricep Extensions (Dumbbell, Rope, or EZ Bar)"
2740,Dumbbell Crush Press
2741,Walking
2742,Feet Elevated Push Ups
2743,One Arm Upright Row
2744,Supine Figure 8s to the Right
2745,Plie Jump Squats 
2746,Lying Extensions
2747,Barbell or Dumbbell Deadlift
2748,Strict Curl (see notes below)
2749,Single Leg Calf Raises
2750,Leverage Chest Press
2751,Incline Dumbbell Flye - Warmup 80%
2752,Upright Row
2753,Squats (Ramped)
2754,Close Grip Lat Pulldown
2755,Set 1
2756,of 1RM
2757,Abductor Machine
2758,Leg Curl  - Muscle
2759,Interval training – choose any form of cardio for a total of 14 minutes
2760,Weighted Crunch
2761,Barbell Calf Raise
2762,Banded Pushups
2763,Overhead Dumbbell Extensions
2764,Dumbbell Hip Thrust
2765,Single leg Bulgarian split squat and single leg dumbbell calf raise
2766,Wide Grip Weighted Pull Ups
2767,One arm cable row (3-1-3 rep timing)
2768,(Assisted) Nordic Hamstring Curls
2769,1B: Medium or Wide-Grip Pull-Ups
2770,T-Bar Rows
2771,Kettlebell Split Squat
2772,Dumbbell Reverse Lunge 
2773,Skullcrusher - Muscle
2774,1 to 2 Quads Exercises of Choice
2775,Walk Outs to Shoulder Taps
2776,Banded Leg Curl
2777,Wide-grip pull-up
2778,Close Grip Lat Pull Down
2779,EZ Bar Preacher Curl
2780,Bench Squat (3 second pause while sitting) *******
2781,Incline Dumbbell Flye
2782,Twisting Rope Crunch
2783,Lying dumbbell extension/bench step-up
2784,Dumbbell Overhead Extension
2785,Kettlebell Swings (Warmup)
2786,Dips or Cable Extensions
2787,Band 2 Arm Kickbacks (Hold Contractions for 4 Seconds)
2788,Set 13
2789,Wide Grip Cable Row
2790,Smith Split Lunge
2791,- Ab Wheel or Barbell Rollout
2792,Speed Bag
2793,Glute Bridge Single-Arm Kettlebell Bench Press
2794,Dumbbell Tricep Overhead Extension
2795,Close Grip Seated Cable Row
2796,Seated Overhead EZ Bar Tricep Extension
2797,Front Squat - Muscle
2798,Decline Close Grip Tricep Press
2799,Seated Calf Raise - Muscle
2800,Barbell Hack Squat
2801,Pushups
2802,Week 9
2803,Incline Push Up
2804,Smith Machine Row
2805,Romanian Deadlift or Leg Curl  - Muscle
2806,Kneeling Incline Cross
2807,Close grip push ups
2808,Dumbbell Plie Squat
2809,Seated Band Leg Curl
2810,Walk Ups
2811,Nordic Hamstring Curl
2812,Horizontal Leg Raise
2813,Incline Bench Dumbbell Flye
2814,Pull-Ups or Bent Over Rows 3
2815,Week 5
2816,Seated Dumbbell Lateral Raise
2817,Incline Barbell Press
2818,Kettlebell Goblet Squat
2819,Weighted Dips (Add weight when you can total 35)
2820,EZ Bar Curls
2821,Program Week
2822,Hip Thrust
2823,4A: Weighted Single Leg Calf Raise
2824,"Heavy Stone Lap, Stack & Carry"
2825,One Arm Dumbbell Rows
2826,Elevated Push Ups
2827,Rear Delt Raise
2828,Straight Bar Cable Curls
2829,Neutral Grip Pull Up*
2830,Prisoner Squat
2831,Hanging L
2832,Upright Row/Barbell Shrug Superset (see notes)
2833,EZ Bar Skull Crushers
2834,Arnold Dumbbell Press
2835,Leg Curls *
2836,Triset:
2837,Rope Hammer Curls
2838,High Seated Incline Bench Press OR Dips
2839,ATG Squat
2840,Powerclean and Press
2841,Superset: Incline Bench Dumbbell Press & Wide-Grip Pull-Up
2842,Barbell or Ab Wheel Roll Outs
2843,Squat Jump
2844,Heavy Dumbbell Rows
2845,2 Squat Pulses to Squat
2846,Machine Shoulder Leg Press**
2847,Leg Extension (Triple drop set)
2848,Barbell Jump Squat
2849,Smith Machine Front Squat
2850,Superset - Dumbbell Bench Press
2851,Counterbalanced Single Leg Squat to Bench
2852,Heavy Sumo Stance Deadlifts - Week 2
2853,bar preacher curls 
2854,Walkouts
2855,Farmer Walk
2856,Plank to Opposite Raise 
2857,Bosu Power Push Up
2858,Feet Elevated Diamond Push-ups
2859,Narrow Stance Squats
2860,Bench Dips
2861,Single Arm Dumbbell Shoulder Press
2862,Rope Cable Face Pulls
2863,Full Body Activation Flow
2864,Cable Overhead Tricep Extension
2865,Bulgarian Split Squat (Reps are per leg)
2866,Incline DB Curl
2867,Standing Calf Machine
2868,Cable Crossover Tricep Pushdown
2869,Tricep Extensions or Dumbbell Skullcrushers
2870,Barbell Hip Thrust (superset)
2871,Wide
2872,Deadlift
2873,Straight bar pushdowns
2874,Leg Raise
2875,1 to 2 Hamstring Exercises of Choice
2876,Single Arm Dumbbell Row
2877,Standing Dumbbell Curl
2878,Lateral Box Jump
2879,Biceps and Triceps
2880,B2: Parallel Bar Triceps Dips
2881,Power Barbell Shrug - Muscle
2882,Glute Kickbacks
2883,Barbell Front Raise
2884,Lying Hamstring Curls
2885,Side Lying Dumbbell Reverse Fly
2886,Standing Band Crunch
2887,Ring Inn & Outs*
2888,Close Grip Bench Press (Pump)
2889,Leg Press **
2890,Hyperextension
2891,Rope Push-Downs (4 count at the bottom of each rep)
2892,Bodyweight Curtsey Lunge
2893,Overhead Smith Machine Press
2894,Inverted Row
2895,Triceps Extension
2896,Pike Layouts
2897,Neutral Grip Incline Bench Press
2898,Renegade Rows 3
2899,65% of 1RM
2900,Partial Lateral Raise
2901,Single Lying Leg Raise
2902,Hyperextensions 
2903,Eccentric Push Up
2904,Barbell Preacher Curls
2905,Superset - Seated Cable Row
2906,Single-Arm Cable Lat Pulldown
2907,Dumbbell Step Ups
2908,Alternating Front Raise
2909,Iso Lateral Raise
2910,Bodyweight Standing Calf Raise
2911,Bent-Over Barbell Row
2912,Weighted Leg Raise
2913,Chest Dips
2914,EZ Bar Curls - Pump sets
2915,Cable Delt Raises
2916,EZ Bar Skullcrusher
2917,Chin Up
2918,Kneeling Overhead Tricep Extension Over Flat Bench
2919,Bent Over Dumbbell Rear Fly
2920,Barbell Rows or Military Press
2921,Elevated Stiff Legged Deadlift
2922,Band Upright Rows
2923,Pec Deck Fly
2924,- Set 2 at 60%
2925,Smith Elbows Out Close Grip Bench Press
2926,Standing Band Rotation
2927,Flat DB Fly
2928,Push Ups with Feet Elevated
2929,Barbell Floor Deadlift or Barbell Back Squat
2930,TRX Suspension Push Up
2931,Barbell Squat - 90 seconds between sets
2932,Lying Low Cable Curl
2933,Bent Over Reverse Fly
2934,Rope Pushdown
2935,Standing Dumbbell Side Lateral Raise
2936,Ab Exercise (Pick your favorite)
2937,Power Shrugs
2938,Torso Elevated Lying Leg Curl****
2939,Single Standing Leg Curl
2940,Smith Overhead Press
2941,Bench Press on Swiss ball if available
2942,Upright Rows or Seated Arnold Press
2943,Rope Tricep Push down
2944,Single Arm Cable Row
2945,Close Grip Press
2946,Seated Dumbbell Curls
2947,Kettle Bell Hollow Holds
2948,Push Up to Burpee
2949,Stability Ball Curl
2950,Paused Bench Press or Close Grip Bench Press
2951,Dumbbell High Pull (Standing)
2952,Standing Overhead Press @ 80%
2953,Dumbbell Side Bend
2954,Dumbbell Single Leg Deadlift 
2955,Wide Push Up
2956,Swiss Ball Dumbbell Press (see instructions)
2957,Alt Grip Pull Ups
2958,Heavy Dumbbell Front Raise
2959,Ab Wheel Rollout
2960,Reverse Sled Drags
2961,DB Reverse Lunge
2962,1 to 3 Biceps Exercises of Choice
2963,Weighted Ab Crunch
2964,Bench Press / Military Press (Alternate)
2965,Chair Leg Raise
2966,Hand Stand Push Ups
2967,Barbell RDL or Dumbbell Stiff Leg Deadlift
2968,Hammer Strength Bench Press
2969,Kettlebell Walking Lunge
2970,Push Ups (On knees if needed)
2971,"8:00
Breakfast"
2972,Body Flex with Chair
2973,Cursty Lunges w
2974,Walkouts (From Feet)
2975,Machine Bicep Curls - Warmup 80%
2976,Front Squat (Warm-up)
2977,Barbell Glute Bridge
2978,Floor Clean and Push Press
2979,Banded Good Morning*
2980,Kettlebell Split Lunge
2981,Dumbbell Flys
2982,Physioball Leg Curl
2983,Reverse Hypers
2984,4A: Box Jumps
2985,Floor Bench Press
2986,Dips or Cable Extension
2987,Row Squeeze (2 Sec Hold)
2988,Alternating Dumbbell Curl
2989,Pendlay Row Work Sets
2990,Prone Dumbbell Incline Curl
2991,Incline Single Arm Dumbbell Press
2992,Pinwheel Curl - Power
2993,Biceps - 2 Exercises
2994,Cable Face Pulls
2995,Seated Cable Rows
2996,Speed Front Squat
2997,Leg extensions
2998,Machine One Arm Row
2999,Handstand
3000,Glute Ham Raise (Rest 45-60 seconds between sets)
3001,Machine Lateral Raise
3002,Reverse Curls
3003,Single-Arm Incline Row
3004,Tricep Rope Pressdown
3005,Low Incline Fly
3006,Single Arm Behind Back Cable Lateral
3007,Skull Crushers
3008,Barbell Bicep Curl
3009,Wood Chop (Reps are per side)
3010,Close-Grip Machine Presses
3011,Ab Wheel Rollouts
3012,Close Grip Bench Presses
3013,"Triset: Hanging leg raise, 3-way plank and jump rope or mountain climbers"
3014,Dumbbell RDL
3015,Bent Over Reverse Flyes - Warmup 80%
3016,Right Leg Calf Raise
3017,Lactate Power Intervals (Shuttle Runs or other intense cardio)
3018,Inverted Row 
3019,Straight Arm Lat Pull Down
3020,Resistance Band Pull Down
3021,Chinups
3022,Body Squats
3023,Clean and Press
3024,Barbell Sumo Squats
3025,Dumbbell Snatch 
3026,Lat Pull Down - Warmup 70%
3027,Machine Tricep Dip
3028,Weighted Single Leg Calf Raises
3029,Cable Crossovers to Upper Chest
3030,Seated Cable Row - Narrow Grip
3031,Bent Over Dumbbell Reverse Fly
3032,Outside Side Leg Raises
3033,Hammer Curl
3034,Leg press
3035,Glute Bridges
3036,2 Board Bench Press
3037,Smith Machine Bent-Over Row
3038,Split Squat
3039,Scissor Crosses
3040,Upright Row or Seated Dumbbell Press
3041,Standing Cable Crunch
3042,T-Bar Row (or Two-Arm DB Row)
3043,"Box Jumps - 24"" to 30"""
3044,Seated Upright Row Machine
3045,Reverse Grip Chin Up
3046,Dumbbell Lateral Raise
3047,Leg Curl (45-60 secs rest between sets)
3048,Knee Huggers
3049,Barbell Wrist Curl
3050,"18:00-19:30
Workout"
3051,Concentration Curls
3052,Straight Leg Sit Up
3053,Prone Dumbbell Front Raise
3054,30 Secs
3055,Leg Curl (Last set follow w/ a drop set)
3056,Machine Seated Knee Raises**
3057,Set 15
3058,Bodyweight Skull Crushers
3059,Barbell Pullover
3060,Machine Chest Press - Working Sets
3061,Smith Incline Bench Press with Bands
3062,2 Chest Exercises of Choice
3063,2B: Reverse-Grip Chin-Ups
3064,Dumbbell Sack Squat Jump
3065,Deadlift (60% of 1RM)
3066,Decline Dumbbell Bench Press
3067,TRX Suspension Inverted Row
3068,Chest Press and Row
3069,Barbell Rollouts
3070,Banded Overhead Extension (Hold Stretch for 4 Seconds)
3071,10 inch Box Squat 
3072,Arm Circles
3073,Side Bends
3074,Seated Press Behind The Neck or Military Press
3075,Wide Grip Inverted Row
3076,Single Arm Kettlebell Shoulder Press
3077,Behind the Back Upright Row
3078,Deficit Stiff
3079,Deadlifts @ 80%
3080,Dumbbell Sumo Squat
3081,Reverse Lunge 
3082,Hyper Extension
3083,V Up
3084,Heel Elevated Split Squats
3085,Lying Leg Raises
3086,Pull Downs
3087,Pull Ups 
3088,Dumbbell Deadlift
3089,- Ring Inn & Outs
3090,Neutral Grip Pull-ups
3091,Set 7
3092,Superset - Two Arm Dumbbell Row
3093,Superset: Dumbbell front raise with Dumbbell side lateral
3094,Weighted Feet Elevated Suspension Supine Row
3095,Dumbbell Fly
3096,Seated Zottman Curl
3097,Wide-Grip Barbell Curl
3098,DB Bench
3099,LISS Cool Down
3100,Body Squat or Jump Squat
3101,Lateral Hurdle Hops
3102,Lying or Seated Leg Curl
3103,Machine Preacher Curls
3104,Machine Pull Down
3105,Kettlebell Single Leg Deadlift
3106,- Set 4 at 80%
3107,Standing Alternating Dumbbell Curls - Working Sets
3108,Dumbbell Lat Raise*
3109,Band Curl
3110,Bench Press or Military Press (Alternate)
3111,Floor Crunch
3112,Bulgarian split squat
3113,Pec Dec - Warmup 80%
3114,Static Handstand Hold
3115,Bench Press - Drop 5 Cycle
3116,Wide Stance Good Morning - Muscle
3117,Incline Dumbbell Bench Press or Incline Bench Press
3118,Barbell Flat Bench Press
3119,Seated Triceps Kickbacks
3120,Decline Board Crunches
3121,2
3122,Incline Bench Dumbbell Rows
3123,Lateral Bound
3124,Overhead Dumbbell Tricep Extension
3125,Muffin Tops
3126,Plate Passes
3127,Inverted Leg Press
3128,Tricep Rope Extension
3129,Lateral Raise
3130,Weighted Pullup
3131,Stiff Legged Deadlift
3132,Standing High Pulley Cable Curl
3133,Flat Bench Dumbbell Press
3134,Lying March
3135,Kettlebell Upright Row
3136,Dumbbell Frog Squat
3137,Standing Barbell Push Press
3138,Rear Foot Elevated Dumbbell Split Squat 
3139,Machine T-Bar
3140,Machine Chest Fly
3141,1c) Close Grip Dumbbell Press on the Floor
3142,Machine Flat Press
3143,Band Single Arm Curl
3144,Treadmill Incline Jog
3145,Lat Pulldown 
3146,Bird Dog 
3147,Kettlebell Turkish Get Up
3148,V-Bar Pull Ups
3149,Tricep Dips 
3150,Deep Squats w/ a 3-second pause at the bottom
3151,One Arm Cable Curl (Pump)
3152,Neutral Grip Pull Down
3153,Band Hammer Curls
3154,Superset: Front squat with Dumbbell Stiff Leg Deadlift
3155,Dumbbell Shrugs - Warmup 80%
3156,Supine Tricep Extension w
3157,2A: Parallel Bar or Bench Dips
3158,Machine Hack Squat
3159,Chest Dips or bench dip
3160,One Leg Leg Press
3161,Decline Push Up
3162,Box Squat (bench shown in video)
3163,Rope Cable Pushdowns
3164,Knee Extensions
3165,Split Jumps
3166,Vogelpohl Sit Up
3167,Barbell Rows - Power
3168,Single Leg Press or Walking Lunge
3169,Dumbbell Knee-In
3170,Superset - Good Mornings
3171,V-Bar Pull Down
3172,Side Lying Rear Delt Fly
3173,Incline Dumbbell Curl (45 seconds rest between sets)
3174,Ball Leg Curls or Glute
3175,Sled or Cable Pull Through
3176,Sprint
3177,Reverse Wrist Curls
3178,Preacher Curl (machine or free weight)
3179,Tabata Cardio
3180,10 inch Box Squat
3181,4 Chair Jacks
3182,Back Squat
3183,Military Press Variation - Standing or Seated
3184,Saws
3185,55% of 1RM
3186,Superset: One-leg calf raise and box or squat jump
3187,Machine Lat Pulldown
3188,Plyometric Push Up
3189,Bench Cable Flys/Pushups superset
3190,Facepull
3191,Close Grip Bench Press - Power
3192,Lunges (Alternating) 3
3193,Treadmill Incline Speed Walk
3194,Dumbbell Bench Press (Drop set on last set)
3195,Standing Band Lateral Raise
3196,2 Arm Dumbbell Kickback
3197,Tri-Set - Decline Dumbbell Flye
3198,- Burn Out (Failure)
3199,Rack
3200,Week 4
3201,Half Kneeling Dumbbell Single Arm Overhead Press 
3202,Calf Exercise
3203,Romanian Deadlifts
3204,Cable Pressdown
3205,EZ Bar Preacher Curl (Pump)
3206,Speed Pause Squat*
3207,Barbell Bent
3208,3-Way Shoulder Raises 3
3209,EZ Bar Preacher Curls
3210,Med Ball V Up
3211,Leg Curls w/ Exercise Ball 4
3212,Smith Machine Press - Working Sets
3213,Barbell Front Raise - Muscle
3214,Single Leg Bodyweight Hip Thrust
3215,Med Ball Squat
3216,Standing Overhead Dumbbell Iso Press
3217,Set 11
3218,Rope Pull Downs
3219,Glute Hyperextensions
3220,Machine Curl
3221,T Bar or Barbell Row
3222,Seated Rear Dumbbell Lateral Raise
3223,Week 6
3224,Week 7
3225,Incline Single Arm Chest Fly
3226,Hand Release Push Ups
3227,Cable Rope Extension
3228,Tricep Pressdowns
3229,Smith Machine Leg Press
3230,Single-Leg TRX Squat
3231,Cable Tricep Pushdown
3232,Band Hammer Curl
3233,Close Grip Lat Pulldown from Floor
3234,Machine Rear Delt Laterals
3235,Tricep Press Downs w
3236,One arm dumbbell row
3237,Kettlebell Deadlift
3238,Cable Incline Front Raise
3239,Rack Lat Stretch
3240,Leg Press - Working Sets
3241,Standing Barbell Curl
3242,Seated Barbell Curl (45 secs rest between sets)
3243,Dumbbell Front Raises*
3244,Barbell Roll Outs
3245,EZ Bar Cheat Curls (Make sure your biceps do most of the work!)
3246,Plank Jacks
3247,Superset: Close-grip push-up and banded or dumbbell curl
3248,Low Incline Dumbbell Fly
3249,Heel Elevated One & A Quarter Band Squats*
3250,Standing Barbell Curl - Muscle
3251,1 1/2 rep Front Squat
3252,Bent Over Dumbbell Flyes - Warmup 80%
3253,Hip Thrusts
3254,Smith Stiff Leg Deadlift
3255,Kneeling Reverse Grip Pressdown/Kneeling Close Grip Pressdown/Kneeling Overhead Cable Extension
3256,Pull Ups or Lat Pull Down
3257,Decline DB Press
3258,Wide Pronated Grip Pull
3259,"2c, Reverse Hyper"
3260,Straight Arm Pull Downs
3261,Smith Machine Hip Thrust
3262,Dumbbell Concentration Curl
3263,Cable EZ Bar Upright Row
3264,Cable Tricep Extension - Warmup 80%
3265,Rope Cable Curls
3266,Squat (Straight Sets)
3267,Hover (AKA plank)
3268,Upright Rows
3269,Superset - Goblet Squats
3270,Glute Ham Raise - Muscle
3271,- Ring Push Ups
3272,Single-Arm Dumbbell Flat Bench Chest Press
3273,Dumbbell Eccentric Front Squat
3274,Hanging Leg Lift
3275,Band Seated Concentration Curl (Hold Contractions 4 Seconds)
3276,Neutral Grip Dumbbell Lateral Raise 
3277,Incline bench curl/ab crunch
3278,Narrow Grip Bench Press
3279,Band Moto Rows
3280,V Bar Pushdown
3281,Dumbbell Skullcrushers
3282,Standing Calf Machine Raises
3283,Dumbbell Tricep Kickback
3284,EZ Bar Bicep 21s
3285,Seated Twist
3286,Incline Bench Press Machine
3287,Decline Bench Press
3288,Wide Grip Behind the Neck Pull Up
3289,Power Cleans
3290,Machine Row
3291,7
3292,Dumbbell Rows
3293,Machine Press or Dumbbell Bench Press
3294,Superset: Dumbbell Front Raise & Dumbbell Side Lateral
3295,Single Arm Machine Curls
3296,Low Rack Pull and Power Shrug Combo
3297,Weighted Pull Ups - Week 2
3298,Seated Military Press - Week 1
3299,Weighted Rope Crunch
3300,Barbell deadlift
3301,Seated Military Press
3302,Front Raise with Resistance
3303,Wide Grip Cable Row (overhand grip)
3304,Walking Stretch
3305,Rotator Cuff Warmup
3306,Front Plank
3307,Incline Dumbbell Iso Press
3308,07:30
3309,Flat bench dumbbell press/jump squat
3310,1 Board Bench Press
3311,Rear Foot Elevated Bulgarian Split Squat
3312,Diamond Push-Up
3313,"23:00
Bed"
3314,Standing Barbell Curl - Power
3315,Feet Elevated Pushup
3316,Supine Figure 8s to the Left
3317,Half Turkish Get Up
3318,Inverted Underhand Rows
3319,Bodyweight Jump Squats
3320,Standing EZ Bar Front Raise
3321,Hammer Spider Curl
3322,Valslide Body Saws
3323,Close Grip Seated Hammer Row
3324,Bodyweight Glute Bridge
3325,1 Arm Cable Row
3326,Leg Extension Triset - Increasing Weight *****
3327,Alternate V Twist
3328,Lat Pulldowns
3329,Seated French Press  - Muscle
3330,Military Press
3331,Smith Machine Sumo Squats 
3332,Hammer Strength High Row Machine
3333,Step
3334,Front Squat (Pyramid Up)
3335,Long Lever Plank
3336,Cable Tricep Extension (Pump)
3337,Diamond Pushups
3338,Barbell front squat
3339,X-Band Walk
3340,Barbell Shrug (1 second pause at top)
3341,EZ Bar Curl
3342,Pec Deck
3343,- Set 1 at 50%
3344,Seated Chest Press Drop Set*
3345,Hands Close Triceps Push Ups
3346,Goblet Squats 3
3347,Leg Curl - Warmup 80%
3348,T Bar Row
3349,Half
3350,Leg Curls (Pyramid up in weight)
3351,Triceps Dip
3352,Military Press or Lat Pull Downs
3353,EZ Bar Close-Grip Curls
3354,Ab Wheel or Barbell Rollouts
3355,Achilles Stretch
3356,Power Barbell Shrugs - Power
3357,Dumbbell Lunge (8 reps each leg)
3358,DB Front Raises
3359,Superset - Seated Two Arm Dumbbell Extension
3360,Russian Twists (Abs) 3
3361,Stiff Leg Deadlift with Dumbbells (Pyramid up in weight)
3362,Incline Barbell Chest Press
3363,Barbell French Press
3364,Cable Flys
3365,Rope Tricep Extension
3366,Medium
3367,2B: TRX Biceps Curls
3368,Meadows Row
3369,Incline dumbbell press and two
3370,Extended Plank Opposite Raise
3371,Crossbody Hammer Curl
3372,Pavlov Press
3373,Seated Dumbbell Press - Warmup 85%
3374,Tricep Machine
3375,Narrow Push Up
3376,Seated 1/2 Rep Barbell Curl
3377,(Weighted) Chin Up
3378,Goblet Squat
3379,Front Foot Elevated Split Squat
3380,Straight Bar Curl
3381,Wide Grip EZ-Bar Curl
3382,Incline Dumbbell Bench Press (At 15-25 degree angle)
3383,Toe Raise Squat
3384,Seated rows
3385,Dumbbell Leg Extension
3386,Outer Leg Raises on Mat
3387,Weighted Crunch*
3388,Dumbbell Lunges
3389,Rack Pull - Below the Knee
3390,Skullcrushers - Pump sets
3391,Crunch
3392,Barbell Front Squat (Use 20% less weight than your previous working sets)
3393,Single Arm Dumbbell Push Press
3394,Incline Dumbbell Bench Press 
3395,5
3396,1 Arm Tricep Pushdown
3397,Jumping Lunges
3398,3 Way Shoulders
3399,Lat Pull Down (Finish w/ drop set as 5th set)
3400,Walking Lunges
3401,Front Double Biceps Pose Upper Cable Curl
